contamination,IF_LOF,IF_OC,LOF_OC
0.001,0.0,0.1,0.0
0.005,0.0,0.22012578616352202,0.0
0.01,0.0,0.20437956204379562,0.0
0.02,0.0,0.27601156069364163,0.0
0.05,0.008064516129032258,0.3692098092643052,0.011575239053850024
